X,movie,Critic_Pick,Review_url,negative,positive,sentiment
225,Ghost in the Shell,0,http://www.nytimes.com/2017/03/30/movies/ghost-in-the-shell-review-scarlett-johansson.html,26,23,negative
226,Mona Lisa Smile,0,http://www.nytimes.com/movie/review?res=9C0CE0DD173FF93AA25751C1A9659C8B63,24,46,positive
227,The Internship,0,http://www.nytimes.com/2013/06/07/movies/the-internship-with-vince-vaughn-and-owen-wilson.html,16,10,negative
228,Life of the Party,0,http://www.nytimes.com/2018/05/10/movies/life-of-the-party-review-melissa-mccarthy.html,15,16,positive
229,American Made,0,http://www.nytimes.com/2017/09/28/movies/american-made-review-tom-cruise.html,38,23,negative
230,For Colored Girls,1,http://www.nytimes.com/2010/11/05/movies/05for.html,47,31,negative
231,Identity,0,http://www.nytimes.com/movie/review?res=9907E5DB163DF936A15757C0A9659C8B63,41,16,negative
232,Uncle Drew,0,http://www.nytimes.com/2018/06/28/movies/uncle-drew-review-kyrie-irving.html,11,2,negative
233,Rambo,0,http://www.nytimes.com/2008/01/25/movies/25ramb.html,35,12,negative
234,Gangs of New York,1,http://www.nytimes.com/movie/review?res=9E06E4D8103DF933A15751C1A9649C8B63,74,52,negative
235,The Recruit,0,http://www.nytimes.com/movie/review?res=9A07E3D71F39F932A05752C0A9659C8B63,41,19,negative
236,Sucker Punch,0,http://www.nytimes.com/2011/03/25/movies/sucker-punch-from-zack-snyder-review.html,55,21,negative
237,Catwoman,0,http://www.nytimes.com/movie/review?res=9804EEDD1E3AF931A15754C0A9629C8B63,46,39,negative
238,I Feel Pretty,0,http://www.nytimes.com/2018/04/19/movies/i-feel-pretty-review-amy-schumer.html,39,38,negative
